"id","vocabulary_text","vocabulary_sound","kanji_text","kanji_meaning","vocabulary_meaning","highlighted","lesson_id"
"344","プレゼント","k_purezento.mp3","","","quà tặng, tặng phẩm","","7"
"345","にもつ","nimotsu.mp3","荷物","HÀ VẬT","đồ đạc, hành lý","","7"
"346","おかね","okane.mp3","お金","KIM","tiền","","7"
"347","きっぷ","kippu.mp3","切符","THIẾT PHÙ","vé","","7"
"348","クリスマス","k_kurisumasu.mp3","","","Giáng sinh","","7"
"349","ちち","chichi.mp3","父","PHỤ","bố (dùng khi nói về bố mình)","","7"
"350","はは","haha.mp3","母","MẪU","mẹ (dùng khi nói về mẹ mình)","","7"
"351","おとうさん","otousan.mp3","お父さん","PHỤ","bố (dùng khi nói về bố người khác và dùng khi xưng hô với bố mình)","","7"
"352","おかあさん","okaasan.mp3","お母さん","MẪU","mẹ (dùng khi nói về mẹ người khác và dùng khi xưng hô với mẹ mình)","","7"
"353","もう","mou.mp3","","","đã, rồi","","7"
"354","まだ","mada.mp3","","","chưa","","7"
"355","これから","korekara.mp3","","","từ bây giờ, sau đây","","7"
"356","[～、]すてきですね。","sutekidesune.mp3","","","[~] hay nhỉ./ đẹp nhỉ.","","7"
"357","ごめんください。","gomenkudasai.mp3","","","Xin lỗi, có ai ở nhà không?/ Tôi có thể vào được chứ?","","7"
"358","いらっしゃい。","irasshai.wav","","","Chào mừng anh/chị đã đến chơi.","","7"
"359","どうぞ　おあがりください。","dozooagarikudasai.wav","","","Mời anh/chị vào.","","7"
"360","しつれいします。","shitsureishimasu.mp3","失礼します。","THẤT LỄ","Xin thất lễ","","7"
"361","[～は]いかがですか。","ikagadesuka.mp3","","","Anh/chị dùng [~] có được không?","","7"
"362","いただきます。","itadakimasu.mp3","","","Xin nhận ~. (cách nói dùng trước khi ăn hoặc uống)","","7"
"363","りょこう","ryokou.mp3","旅行","LỮ HÀNH","du lịch, chuyến du lịch (～をします: đi du lịch)","","7"
"364","おみやげ","omiyage.mp3","お土産","THỔ SẢN","quà","","7"
"365","ヨーロッパ","yoroppa.wav","","","Châu Âu","","7"
"366","スペイン","supein.wav","","","Tây Ban Nha","","7"
"367","ハンサム[な]","k_hansamu.mp3","","","đẹp trai","","8"
"368","きれい[な]","kirei.mp3","","","đẹp, sạch","","8"
"369","しずか[な]","shizuka.mp3","静か[な]","TĨNH","yên tĩnh","","8"
"370","にぎやか[な]","nigiyaka.mp3","","","náo nhiệt","","8"
"371","ゆうめい[な]","yuumei.mp3","有名[な]","HỮU DANH","nổi tiếng","","8"
"372","しんせつ[な]","shinsetsu.mp3","親切[な]","THÂN THIẾT","tốt bụng, thân thiện","","8"
"373","げんき[な]","genki.mp3","元気[な]","NGUYÊN KHÍ","khỏe","","8"
"374","ひま[な]","hima.mp3","暇[な]","HẠ","rảnh rỗi","","8"
"375","べんり[な]","benri.mp3","便利[な]","TIỆN LỢI","tiện lợi","","8"
"376","すてき[な]","suteki.mp3","","","đẹp, hay","","8"
"377","おおきい","ookii.mp3","大きい","ĐẠI","lớn, to","","8"
"378","ちいさい","chiisai.mp3","小さい","TIỂU","bé, nhỏ","","8"
"379","あたらしい","atarashii.mp3","新しい","TÂN","mới","","8"
"380","ふるい","furui.mp3","古い","CỔ","cũ","","8"
"381","いい（よい）","ii.mp3","","","tốt","","8"
"382","わるい","warui.mp3","悪い","ÁC","xấu","","8"
"383","あつい","atsui.mp3","暑い, 熱い","THỬ, NHIỆT","nóng","","8"
"384","さむい","samui.mp3","寒い","HÀN","lạnh, rét (dùng cho thời tiết)","","8"
"385","つめたい","tsumetai.mp3","冷たい","LÃNH","lạnh, buốt (dùng cho cảm giác)","","8"
"386","むずかしい","muzukashii.mp3","難しい","NAN","khó","","8"
"387","やさしい","yasashii.mp3","易しい","DỊ","dễ","","8"
"388","たかい","takai.mp3","高い","CAO","đắt, cao","","8"
"389","やすい","yasui.mp3","安い","AN","rẻ","","8"
"390","ひくい","hikui.mp3","低い","ĐÊ","thấp","","8"
"391","おもしろい","omoshiroi.mp3","","","thú vị, hay","","8"
"392","おいしい","oishii.mp3","","","ngon","","8"
"393","いそがしい","isogashii.mp3","忙しい","MANG","bận","","8"
"394","たのしい","tanoshii.mp3","楽しい","LẠC, NHẠC","vui","","8"
"395","しろい","shiroi.mp3","白い","BẠCH","trắng","","8"
"396","くろい","kuroi.mp3","黒い","HẮC","đen","","8"
"397","あかい","akai.mp3","赤い","XÍCH","đỏ","","8"
"398","あおい","aoi.mp3","青い","THANH","xanh da trời","","8"
"399","さくら","sakura.mp3","桜","ANH","anh đào (hoa, cây)","","8"
"400","やま","yama.mp3","山","SƠN, SAN","núi","","8"
"401","まち","machi.mp3","町","ĐINH","thị trấn, thị xã, thành phố","","8"
"402","たべもの","tabemono.mp3","食べ物","THỰC VẬT","đồ ăn","","8"
"403","くるま","kuruma.mp3","車","XA","xe ô tô","","8"
"404","ところ","tokoro.mp3","所","SỞ","nơi, chỗ","","8"
"405","りょう","ryo.mp3","寮","LIÊU","kí túc xá","","8"
"406","べんきょう","benkyou.mp3","勉強","MIỄN CƯỜNG","học","","8"
"407","せいかつ","seikatsu.mp3","生活","SINH HOẠT","cuộc sống, sinh hoạt","","8"
"408","[お]しごと","shigoto.mp3","[お]仕事","SĨ SỰ","công việc (～をします：làm việc)","","8"
"409","どう","dou.mp3","","","thế nào","","8"
"410","どんな～","donna.mp3","","","~ như thế nào","","8"
"411","どれ","dore.mp3","","","cái nào","","8"
"412","とても","totemo.mp3","","","rất, lắm","","8"
"413","あまり","amari.mp3","","","không ~ lắm","","8"
"414","そして","soshite.mp3","","","và, thêm nữa (dùng để nối 2 câu)","","8"
"415","～が、～","ga､.mp3","","","~, nhưng ~","","8"
"416","おげんきですか。","ogenkidesuka.mp3","お元気ですか。","NGUYÊN KHÍ","Anh/chị có khỏe không?","","8"
"417","そうですね。","soudesune.mp3","","","Thế à. Như vậy nhỉ","","8"
"418","にほんのせいかつに なれましたか","nihonnoseikatsuninaremashitaka.mp3","","","Anh/Chị đã quen với cuộc sống ở Nhật chưa?","","8"
"419","[～、]もういっぱいいかがですか。","mouippaiikagadesuka.mp3","","","Anh/ chị dùng thêm một chén [~] nữa được không ạ?","","8"
"420","いいえ、けっこうです。","iiekekkoudesu.mp3","","","Không, đủ rồi ạ.","","8"
"421","もう～です[ね]。","moudesune.wav","","","Đã ~ rồi nhỉ./ Đã ~ rồi, đúng không ạ?","","8"
"422","そろそろしつれいします。","sorosoroshitsureishimasu.mp3","","","Sắp đến lúc tôi phải xin phép rồi.","","8"
"423","また　いらっしゃってください。","matairasshattekudasai.wav","","","Lần sau anh/ chị lại đến chơi nhé.","","8"
"424","ふじさん","fujisan.wav","富士山","PHÚ SĨ SƠN/SAN","Núi Phú Sĩ (ngọn núi cao nhất Nhật Bản)","","8"
"425","びわこ","biwako.wav","琵琶湖","TỲ BÀ HỒ","Hồ Biwa","","8"
"426","シャンハイ","shanhai.wav","上海","THƯỢNG HẢI","Thượng Hải","","8"
"427","しちにんのさむらい","shichininnosamurai.wav","七人の侍","THẤT NHÂN THỊ","bảy chàng võ sĩ Samurai","","8"
"428","きんかくじ","kinkakuji.wav","金閣寺","KIM CÁC TỰ","Chùa Kinkaku-ji (chùa vàng)","","8"
"429","わかります","wakarimasu.mp3","","","hiểu, nắm được","","9"
"430","あります","arimasu.mp3","","","có (sở hữu)","","9"
"431","すき[な]","suki.mp3","好き[な]","HIẾU/HẢO","thích","","9"
"432","きらい[な]","kirai.mp3","嫌い[な]","HIỀM","ghét, không thích","","9"
"433","じょうず[な]","jouzu.mp3","上手[な]","THƯỢNG THỦ","giỏi, khéo","","9"
"434","へた[な]","heta.mp3","下手[な]","HẠ THỦ","kém","","9"
"435","りょうり","ryouri.mp3","料理","LIỆU LÝ","món ăn, việc nấu ăn","","9"
"436","のみもの","nomimono.mp3","飲み物","ẨM VẬT","đồ uống","","9"
"437","スポーツ","k_supootsu.mp3","","","thể thao (～をします：chơi thể thao)","","9"
"438","やきゅう","yakyuu.mp3","野球","DÃ CẦU","bóng chày (～をします：chơi bóng chày)","","9"
"439","ダンス","k_dansu.mp3","","","nhảy, khiêu vũ(～をします：nhảy, khiêu vũ)","","9"
"440","おんがく","ongaku.mp3","音楽","ÂM NHẠC/LẠC","âm nhạc","","9"
"441","うた","uta.mp3","歌","CA","bài hát","","9"
"442","クラシック","k_kurashikku.mp3","","","nhạc cổ điển","","9"
"443","ジャズ","k_jazu.mp3","","","nhạc jazz","","9"
"444","コンサート","k_konsaato.mp3","","","buổi hòa nhạc","","9"
"445","カラオケ","k_karaoke.mp3","","","karaoke","","9"
"446","かぶき","kabuki.mp3","歌舞伎","CA VŨ KỸ","Kabuki (một loại ca kịch truyền thống của Nhật)","","9"
"447","え","e.mp3","絵","HỘI","tranh, hội họa","","9"
"448","じ","ji.mp3","字","TỰ","chữ","","9"
"449","かんじ","kanji.mp3","漢字","HÁN TỰ","chữ hán","","9"
"450","ひらがな","hiragana.mp3","","","chữ Hiragana","","9"
"451","かたかな","katakana.mp3","","","Chữ Katakana","","9"
"452","ローマじ","k_romaji.mp3","ローマ字","TỰ","chữ La Mã","","9"
"453","こまかいおかね","komakaiokane.mp3","細かいお金","TẾ KIM","tiền lẻ","","9"
"454","チケット","k_chiketto.mp3","","","vé (xem hòa nhạc, xem phim)","","9"
"455","じかん","jikan.mp3","時間","THÌ/THỜI GIAN","thời gian","","9"
"456","ようじ","youji.mp3","用事","DỤNG SỰ","việc bận, công chuyện","","9"
"457","やくそく","yakusoku.mp3","約束","ƯỚC THÚC","cuộc hẹn, lời hứa","","9"
"458","ごしゅじん","gosyujin.mp3","ご主人","CHỦ NHÂN","chồng (dùng khi nói về chồng người khác)","","9"
"459","おっと/しゅじん","otto(syujin).mp3","夫 /主人","PHU CHỦ NHÂN","chồng (dùng khi nói về chồng mình)","","9"
"460","おくさん","okusan.mp3","奥さん","ÁO","vợ (dùng khi nói về vợ người khác)","","9"
"461","つま/かない","tsuma(kanai).mp3","妻/家内","THÊ GIA NỘI","vợ (dùng khi nói về vợ mình)","","9"
"462","こども","kodomo.mp3","子ども","TỬ","con cái","","9"
"463","よく","yoku.mp3","","","tốt, rõ (chỉ mức độ)","","9"
"464","だいたい","daitai.mp3","","","đại khái, đại thể","","9"
"465","たくさん","takusan.mp3","","","nhiều","","9"
"466","すこし","sukoshi.mp3","少し","THIẾU, THIỂU","ít, một ít","","9"
"467","ぜんぜん","zenzen.mp3","全然","TOÀN NHIÊN","hoàn toàn ~ không","","9"
"468","はやく","hayaku.mp3","早く, 速く","TẢO、TỐC","sớm, nhanh","","9"
"469","～から","kara.mp3","","","~ từ","","9"
"470","どうして","doushite.mp3","","","tại sao","","9"
"471","ざんねんです[ね]。","zannendesune.mp3","残念です[ね]。","TÀN NIỆM","Thật đáng tiếc nhỉ./ buồn nhỉ.","","9"
"472","すみません。","sumimasen.mp3","","","Xin lỗi.","","9"
"473","もしもし","moshimoshi.mp3","","","a-lô","","9"
"474","ああ","aa.mp3","","","a (cách nói khi đã gặp được đúng người trên điện thoại)","","9"
"475","いっしょにいかがですか。","isshoniikagadesuka.mp3","","","Anh/chị cùng ~ (làm cái gì đó) với chúng tôi được không?","","9"
"476","[～は]ちょっと…。","chotto.mp3","","","[~ thì] có lẽ không được rồi.","","9"
"477","だめですか。","damedesuka.mp3","","","Không được à?","","9"
"478","またこんどおねがいします","matakondoonegaishimasu.mp3","また今度お願いします","KIM ĐỘ NGUYỆN","Hẹn Anh/Chị lần sau vậy.","","9"
"479","おざわせいじ","ozawaseiji.wav","小沢征爾","TIỂU TRẠCH CHINH NHĨ","Ozawa Seiji (1935 ~ )","","9"
"480","います","imasu.mp3","","","có, ở (tồn tại, dùng cho người và động vật)","","10"
"481","あります","arimasu.mp3","","","có (tồn tại, dùng cho đồ vật)","","10"
"482","いろいろ[な]","iroiro.mp3","","","nhiều, đa dạng","","10"
"483","おとこのひと","otokonohito.mp3","男の人","NAM NHÂN","người đàn ông","","10"
"484","おんなのひと","onnanohito.mp3","女の人","NỮ NHÂN","người đàn bà","","10"
"485","おとこのこ","otokonoko.mp3","男の子","NAM TỬ","cậu con trai","","10"
"486","おんなのこ","onnanoko.mp3","女の子","NỮ TỬ","cô con gái","","10"
"487","いぬ","inu.mp3","犬","KHUYỂN","chó","","10"
"488","ねこ","neko.mp3","猫","MIÊU","mèo","","10"
"489","き","ki.mp3","木","MỘC","cây, gỗ","","10"
"490","もの","mono.mp3","物","VẬT","vật, đồ vật","","10"
"491","フィルム","k_fijrumu.mp3","","","phim","","10"
"492","でんち","denchi.mp3","電池","ĐIỆN TRÌ","Pin","","10"
"493","はこ","hako.mp3","箱","TƯƠNG","hộp","","10"
"494","スイッチ","k_suicchi.mp3","","","công tắc","","10"
"495","れいぞうこ","reizouko.mp3","冷蔵庫","LÃNH TÀN KHỐ","tủ lạnh","","10"
"496","テーブル","k-teeburu.mp3","","","bàn","","10"
"497","ベッド","k_beddo.mp3","","","giường","","10"
"498","たな","tana.mp3","棚","BẰNG","giá sách","","10"
"499","ドア","k-doa.mp3","","","cửa","","10"
"500","まど","mado.mp3","窓","SONG","cửa sổ","","10"
"501","ポスト","k_posuto.mp3","","","hộp thư, hòm thư","","10"
"502","ビル","k_biru.mp3","","","toà nhà","","10"
"503","こうえん","kouen.mp3","公園","CÔNG VIÊN","công viên","","10"
"504","きっさてん","kissaten.mp3","喫茶店","KHIẾT TRÀ ĐIẾM","quán giải khát, quán cà-phê","","10"
"505","ほんや","honya.mp3","本屋","BẢN ỐC","hiệu sách","","10"
"506","～や","ya.mp3","～屋","ỐC","hiệu ~, cửa hàng ~","","10"
"507","のりば","noriba.mp3","乗り場","THỪA TRƯỜNG","bến xe, điểm lên xuống xe","","10"
"508","けん","ken.mp3","県","HUYỆN","tỉnh","","10"
"509","うえ","ue.mp3","上","THƯỢNG","trên","","10"
"510","した","shita.mp3","下","HẠ","dưới","","10"
"511","まえ","mae.mp3","前","TIỀN","trước","","10"
"512","うしろ","ushiro.mp3","","","sau","","10"
"513","みぎ","migi.mp3","右","HUỮ","phải","","10"
"514","ひだり","hidari.mp3","左","TẢ","trái","","10"
"515","なか","naka.mp3","中","TRUNG","trong, giữa","","10"
"516","そと","soto.mp3","外","NGOẠI","ngoài","","10"
"517","となり","tonari.mp3","隣","LÂN","bên cạnh","","10"
"518","ちかく","chikaku.mp3","近く","CẬN","gần","","10"
"519","あいだ","aida.mp3","間","GIAN","giữa","","10"
"520","～や～[など] ~","yanado.wav","","","~và ~, [v.v.]","","10"
"521","いちばん～","ichiban.mp3","","","~ nhất (いちばん うえ：vị trí cao nhất)","","10"
"522","―だんめ","danme.mp3","―段目","ĐOẠN MỤC","giá thứ -, tầng thứ","","10"
"523","[どうも]すみません。","doumosumimasen.mp3","","","Cám ơn","","10"
"524","チリソース","chirisosu.wav","","","tương ớt (chili sauce)","","10"
"525","おく","oku.mp3","奥","ÁO","bên trong cùng, phía sâu bên trong","","10"
"526","スパイス・コーナー","supaisukona.wav","","","góc gia vị (sprice corner)","","10"
"527","東京ディズニーランド","tokyodisneyland.wav","","ĐÔNG KINH","Công viên Tokyo Disneyland","","10"
"528","ユニューヤ・ストア","yuunyuuyastore.wav","","","tên một siêu thị (giả tưởng)","","10"
"529","[こどもが～] います","Minna_bai11_1.mp3","[子供が～]","TỬ CUNG","có [con]","","11"
"530","[にほんに～] います","nihonniimasu.wav","[日本に～]","NHẬT BẢN","ở [Nhật]","","11"
"531","かかります","Minna_bai11_3.mp3","","","mất, tốn (thời gian, tiền bạc)","","11"
"532","[かいしゃを～] やすみます","Minna_bai11_4.mp3","[会社を～]休みます","HỘI XÃ HƯU","nghỉ [làm việc]","","11"
"533","ひとつ","Minna_bai11_5.mp3","１つ","","một cái (dùng để đếm đồ vật)","","11"
"534","ふたつ","Minna_bai11_6.mp3","２つ","","hai cái","","11"
"535","みっつ","Minna_bai11_7.mp3","３つ","","ba cái","","11"
"536","よっつ","Minna_bai11_8.mp3","４つ","","bốn cái","","11"
"537","いつつ","Minna_bai11_9.mp3","５つ","","năm cái","","11"
"538","むっつ","Minna_bai11_10.mp3","６つ","","sáu cái","","11"
"539","ななつ","Minna_bai11_11.mp3","７つ","","bảy cái","","11"
"540","やっつ","Minna_bai11_12.mp3","８つ","","tám cái","","11"
"541","ここのつ","Minna_bai11_13.mp3","９つ","","chín cái","","11"
"542","とお","Minna_bai11_14.mp3","10","","mười cái","","11"
"543","いくつ","Minna_bai11_15.mp3","","","mấy cái, bao nhiêu cái","","11"
"544","ひとり","Minna_bai11_16.mp3","１人","NHÂN","một người","","11"
"545","ふたり","Minna_bai11_17.mp3","２人","NHÂN","hai người","","11"
"546","―にん","Minna_bai11_18.mp3","－人","NHÂN","- người","","11"
"547","―だい","Minna_bai11_19.mp3","－台","ĐÀI","- cái (dùng để đếm máy móc, xe cộ v.v.)","","11"
